"X","Y","OBJECTID","EVENT_UNIQUE_ID","REPORT_DATE","OCC_DATE","REPORT_YEAR","REPORT_MONTH","REPORT_DAY","REPORT_DOY","REPORT_DOW","REPORT_HOUR","OCC_YEAR","OCC_MONTH","OCC_DAY","OCC_DOY","OCC_DOW","OCC_HOUR","DIVISION","LOCATION_TYPE","PREMISES_TYPE","UCR_CODE","UCR_EXT","OFFENCE","MCI_CATEGORY","HOOD_158","NEIGHBOURHOOD_158","HOOD_140","NEIGHBOURHOOD_140","LONG_WGS84","LAT_WGS84"
-8841308.37658471,5425237.32208829,395682,"GO-20241371243","2024/06/23 05:00:00+00","2024/06/23 05:00:00+00",2024,"June",23,175,"Sunday    ",20,2024,"June",23,175,"Sunday    ",5,"D32","Parking Lots (Apt., Commercial Or Non-Commercial)","Outside",2135,210,"Theft Of Motor Vehicle","Auto Theft","039","Bedford Park-Nortown (39)","039","Bedford Park-Nortown (39)",-79.4228244627832,43.7396298778243
-8832505.45322384,5430824.64629674,395683,"GO-20241369257","2024/06/23 05:00:00+00","2024/06/23 05:00:00+00",2024,"June",23,175,"Sunday    ",15,2024,"June",23,175,"Sunday    ",15,"D33","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Commercial",1610,100,"Robbery With Weapon","Robbery","047","Don Valley Village (47)","047","Don Valley Village (47)",-79.343746456519,43.7758819156433
-8849070.85688898,5408396.49373464,395684,"GO-20241368066","2024/06/23 05:00:00+00","2024/06/23 05:00:00+00",2024,"June",23,175,"Sunday    ",12,2024,"June",23,175,"Sunday    ",12,"D22","Apartment (Rooming House, Condo)","Apartment",1430,100,"Assault","Assault","016","Stonegate-Queensway (16)","016","Stonegate-Queensway (16)",-79.4925560103278,43.6302292668239
-8849513.85547425,5405560.74718945,395685,"GO-20241371460","2024/06/23 05:00:00+00","2024/06/23 05:00:00+00",2024,"June",23,175,"Sunday    ",20,2024,"June",23,175,"Sunday    ",20,"D22","Apartment (Rooming House, Condo)","Apartment",1430,100,"Assault","Assault","160","Mimico-Queensway (160)","017","Mimico (includes Humber Bay Shores) (17)",-79.4965355338765,43.6117881961866
-8818359.10925681,5429129.15037131,395686,"GO-20241368186","2024/06/23 05:00:00+00","2024/04/27 05:00:00+00",2024,"June",23,175,"Sunday    ",13,2024,"April",27,118,"Saturday  ",0,"D43","Single Home, House (Attach Garage, Cottage, Mobile)","House",1420,100,"Assault With Weapon","Assault","141","Golfdale-Cedarbrae-Woburn (141)","137","Woburn (137)",-79.2166676867196,43.7648834105356
-8831670.47577966,5421353.60642246,395687,"GO-20241367214","2024/06/23 05:00:00+00","2024/06/23 05:00:00+00",2024,"June",23,175,"Sunday    ",10,2024,"June",23,175,"Sunday    ",10,"D55","Streets, Roads, Highways (Bicycle Path, Private Road)","Outside",1430,100,"Assault","Assault","044","Flemingdon Park (44)","044","Flemingdon Park (44)",-79.3362457266138,43.7144183635815
-8839455.12970198,5430904.93541975,395688,"GO-20241368576","2024/06/23 05:00:00+00","2024/06/23 05:00:00+00",2024,"June",23,175,"Sunday    ",14,2024,"June",23,175,"Sunday    ",14,"D32","Apartment (Rooming House, Condo)","Apartment",1430,100,"Assault","Assault","152","East Willowdale (152)","051","Willowdale East (51)",-79.4061764626905,43.7764026926466
-8825134.72490935,5419699.64800424,395689,"GO-20241367886","2024/06/23 05:00:00+00","2020/10/01 05:00:00+00",2024,"June",23,175,"Sunday    ",10,2020,"October",1,275,"Thursday  ",10,"D41","Single Home, House (Attach Garage, Cottage, Mobile)","House",1410,100,"Aggravated Assault","Assault","121","Oakridge (121)","121","Oakridge (121)",-79.2775340776117,43.7036783118455
-8854630.84010232,5409930.53884705,395690,"GO-20241370828","2024/06/23 05:00:00+00","2024/06/22 05:00:00+00",2024,"June",23,175,"Sunday    ",20,2024,"June",22,174,"Saturday  ",20,"D22","Parking Lots (Apt., Commercial Or Non-Commercial)","Outside",2135,210,"Theft Of Motor Vehicle","Auto Theft","158","Islington (158)","014","Islington-City Centre West (14)",-79.5425021887075,43.6402029193337
-8832505.45322384,5430824.64629674,395691,"GO-20241369257","2024/06/23 05:00:00+00","2024/06/23 05:00:00+00",2024,"June",23,175,"Sunday    ",15,2024,"June",23,175,"Sunday    ",15,"D33","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Commercial",1610,100,"Robbery With Weapon","Robbery","047","Don Valley Village (47)","047","Don Valley Village (47)",-79.343746456519,43.7758819156433
-8837774.12479569,5411417.22554557,395692,"GO-20241370383","2024/06/23 05:00:00+00","2024/06/23 05:00:00+00",2024,"June",23,175,"Sunday    ",18,2024,"June",23,175,"Sunday    ",18,"D52","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Commercial",1610,100,"Robbery With Weapon","Robbery","164","Wellington Place (164)","077","Waterfront Communities-The Island (77)",-79.3910757390425,43.6498670889707
-8851432.65940698,5422184.50987609,395693,"GO-20241372031","2024/06/23 05:00:00+00","2024/06/23 05:00:00+00",2024,"June",23,175,"Sunday    ",22,2024,"June",23,175,"Sunday    ",22,"D31","Open Areas (Lakes, Parks, Rivers)","Outside",1420,110,"Assault Bodily Harm","Assault","154","Oakdale-Beverley Heights (154)","026","Downsview-Roding-CFB (26)",-79.5137724430298,43.7198131464395
-8837774.12479569,5411417.22554557,395694,"GO-20241370383","2024/06/23 05:00:00+00","2024/06/23 05:00:00+00",2024,"June",23,175,"Sunday    ",18,2024,"June",23,175,"Sunday    ",18,"D52","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Commercial",1610,100,"Robbery With Weapon","Robbery","164","Wellington Place (164)","077","Waterfront Communities-The Island (77)",-79.3910757390425,43.6498670889707
-8835439.02203491,5412385.86896232,395695,"GO-20241371418","2024/06/23 05:00:00+00","2024/06/23 05:00:00+00",2024,"June",23,175,"Sunday    ",20,2024,"June",23,175,"Sunday    ",20,"D51","Apartment (Rooming House, Condo)","Apartment",1420,100,"Assault With Weapon","Assault","073","Moss Park (73)","073","Moss Park (73)",-79.3700991535413,43.6561628952666
-8827765.73613868,5418457.54761683,395696,"GO-20241368461","2024/06/23 05:00:00+00","2024/06/23 05:00:00+00",2024,"June",23,175,"Sunday    ",13,2024,"June",23,175,"Sunday    ",13,"D55","Streets, Roads, Highways (Bicycle Path, Private Road)","Outside",1430,100,"Assault","Assault","061","Taylor-Massey (61)","061","Taylor-Massey (61)",-79.3011688543107,43.6956114127014
-8835439.02203491,5412385.86896232,395697,"GO-20241371418","2024/06/23 05:00:00+00","2024/06/23 05:00:00+00",2024,"June",23,175,"Sunday    ",20,2024,"June",23,175,"Sunday    ",20,"D51","Apartment (Rooming House, Condo)","Apartment",1420,100,"Assault With Weapon","Assault","073","Moss Park (73)","073","Moss Park (73)",-79.3700991535413,43.6561628952666
-8838008.23224517,5416958.88997074,395698,"GO-20241371354","2024/06/23 05:00:00+00","2024/06/23 05:00:00+00",2024,"June",23,175,"Sunday    ",20,2024,"June",23,175,"Sunday    ",20,"D53","Single Home, House (Attach Garage, Cottage, Mobile)","House",1430,100,"Assault","Assault","097","Yonge-St.Clair (97)","097","Yonge-St.Clair (97)",-79.393178761601,43.6858768424188
-8827821.64613029,5434194.39339671,395699,"GO-20241370988","2024/06/23 05:00:00+00","2024/06/23 05:00:00+00",2024,"June",23,175,"Sunday    ",21,2024,"June",23,175,"Sunday    ",19,"D42","Single Home, House (Attach Garage, Cottage, Mobile)","House",1430,100,"Assault","Assault","148","East L'Amoreaux (148)","117","L'Amoreaux (117)",-79.3016711024164,43.7977351092789
-8834876.30267687,5413765.54348419,395701,"GO-20241368759","2024/06/23 05:00:00+00","2023/10/01 05:00:00+00",2024,"June",23,175,"Sunday    ",15,2023,"October",1,274,"Sunday    ",20,"D51","Apartment (Rooming House, Condo)","Apartment",1430,100,"Assault","Assault","071","Cabbagetown-South St.James Town (71)","071","Cabbagetown-South St.James Town (71)",-79.3650441603408,43.6651291042328
-8838175.69906074,5413365.30888453,395702,"GO-2024138307","2024/06/23 05:00:00+00","2024/06/23 05:00:00+00",2024,"June",23,175,"Sunday    ",20,2024,"June",23,175,"Sunday    ",20,"D52","Universities / Colleges","Educational",1430,100,"Assault","Assault","079","University (79)","079","University (79)",-79.3946831420516,43.6625282026376
-8850807.08850784,5422070.80801314,395703,"GO-20241367056","2024/06/23 05:00:00+00","2024/06/22 05:00:00+00",2024,"June",23,175,"Sunday    ",10,2024,"June",22,174,"Saturday  ",8,"D31","Parking Lots (Apt., Commercial Or Non-Commercial)","Outside",2135,210,"Theft Of Motor Vehicle","Auto Theft","154","Oakdale-Beverley Heights (154)","026","Downsview-Roding-CFB (26)",-79.5081528435105,43.7190749464395
-8851932.47835467,5425302.10830857,395704,"GO-20241366009","2024/06/23 05:00:00+00","2024/06/23 05:00:00+00",2024,"June",23,175,"Sunday    ",4,2024,"June",23,175,"Sunday    ",4,"D31","Streets, Roads, Highways (Bicycle Path, Private Road)","Outside",1430,100,"Assault","Assault","025","Glenfield-Jane Heights (25)","025","Glenfield-Jane Heights (25)",-79.5182623930322,43.7400503543317
-8856016.48222821,5421227.35720867,395705,"GO-20241369050","2024/06/23 05:00:00+00","2024/06/23 05:00:00+00",2024,"June",23,175,"Sunday    ",16,2024,"June",23,175,"Sunday    ",15,"D23","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Commercial",1480,100,"Assault - Resist/ Prevent Seiz","Assault","001","West Humber-Clairville (1)","001","West Humber-Clairville (1)",-79.554949624331,43.7135986272791
-8856016.48222821,5421227.35720867,395706,"GO-20241369050","2024/06/23 05:00:00+00","2024/06/23 05:00:00+00",2024,"June",23,175,"Sunday    ",16,2024,"June",23,175,"Sunday    ",15,"D23","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Commercial",1480,100,"Assault - Resist/ Prevent Seiz","Assault","001","West Humber-Clairville (1)","001","West Humber-Clairville (1)",-79.554949624331,43.7135986272791
-8860849.57209849,5412341.50055375,395707,"GO-20241366215","2024/06/23 05:00:00+00","2024/06/23 05:00:00+00",2024,"June",23,175,"Sunday    ",6,2024,"June",23,175,"Sunday    ",6,"D22","Open Areas (Lakes, Parks, Rivers)","Outside",1420,100,"Assault With Weapon","Assault","011","Eringate-Centennial-West Deane (11)","011","Eringate-Centennial-West Deane (11)",-79.5983660094484,43.6558745319912
-8820366.78054091,5438747.17021284,395708,"GO-20241368109","2024/06/23 05:00:00+00","2024/06/22 05:00:00+00",2024,"June",23,175,"Sunday    ",12,2024,"June",22,174,"Saturday  ",0,"D42","Bar / Restaurant","Commercial",1430,100,"Assault","Assault","144","Morningside Heights (144)","131","Rouge (131)",-79.234702904528,43.8272476954565
-8858474.32374447,5417616.81634509,395709,"GO-20241368154","2024/06/23 05:00:00+00","2024/06/23 05:00:00+00",2024,"June",23,175,"Sunday    ",16,2024,"June",23,175,"Sunday    ",12,"D23","Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)","Commercial",2130,210,"Theft Over","Theft Over","001","West Humber-Clairville (1)","001","West Humber-Clairville (1)",-79.5770287903765,43.6901506145333
-8837774.12479569,5411417.22554557,395710,"GO-20241370383","2024/06/23 05:00:00+00","2024/06/23 05:00:00+00",2024,"June",23,175,"Sunday    ",18,2024,"June",23,175,"Sunday    ",18,"D52","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Commercial",1610,210,"Robbery - Business","Robbery","164","Wellington Place (164)","077","Waterfront Communities-The Island (77)",-79.3910757390425,43.6498670889707
-8828540.44710298,5434566.13665699,395711,"GO-20241367883","2024/06/23 05:00:00+00","2024/06/23 05:00:00+00",2024,"June",23,175,"Sunday    ",12,2024,"June",23,175,"Sunday    ",11,"D42","Hospital / Institutions / Medical Facilities (Clinic, Dentist, Morgue)","Other",1430,100,"Assault","Assault","148","East L'Amoreaux (148)","117","L'Amoreaux (117)",-79.3081282010861,43.8001454173855
